display_title,mpaa_rating,critics_pick,byline,headline,summary_short,publication_date,opening_date,date_updated,boxoffice,genre,director,writer,actor,nomination
A Brave Heart: The Lizzie Velasquez Story,PG-13,0,KEN JAWOROWSKI,"Review: ‘A Brave Heart: The Lizzie Velasquez Story,’ One Woman’s Push for Acceptance","Sara Hirsh Bordo, directing her first feature, keeps the scenes bright and fast-moving, but several important topics about Ms. Velasquez are are barely addressed.",2015-09-24,2015-09-25,2017-11-02 4:18,NA,Documentary,Sara Hirsh Bordo,Michael Campo,Lizzie Velasquez,0
A Brighter Summer Day,Not Rated,0,By A.&nbsp;O. SCOTT,"Displaced, Disaffected and Desperate to Connect","“A Brighter Summer Day,” the director Edward Yang’s chronicle of disaffected youth in Taiwan in 1960, seethes with the spirit of confused, ardent rebellion.",2011-11-24,2011-11-25,2017-11-02 4:18,NA,Crime,Edward Yang,"Hung Hung, Mingtang Lai, Alex Yang, Edward Yang",Chen Chang,0
A Brilliant Young Mind,PG-13,0,STEPHEN HOLDEN,Review: &#8216;A Brilliant Young Mind&#8217; Facing Infinite Obstacles,A young mathematical genius played by Asa Butterfield struggles with his autism and the aftermath of his father&#8217;s death.,2015-09-10,2015-09-11,2017-11-02 4:18,NA,Drama,Morgan Matthews,James Graham,Asa Butterfield,0
A Christmas Horror Story,NA,0,GLENN KENNY,"Review: ‘A Christmas Horror Story,’ for the Gory Faithful","Three directors combine to make this addition to the scary-holiday-movie genre, which includes William Shatner as a Christmas Eve D.J.",2015-10-01,2015-10-02,2017-11-02 4:18,NA,Fantasy,"Grant Harvey, Steven Hoban, Brett Sullivan","James Kee, Sarah Larsen, Doug Taylor, Pascal Trottier",William Shatner,0
A Coffee in Berlin,Not Rated,0,RACHEL SALTZ,A Young Man’s Dark-Roasted Day,"“A Coffee in Berlin,” Jan Ole Gerster’s feature film debut, follows a young man’s twisting path.",2014-06-12,2014-06-13,2017-11-02 4:18,NA,Comedy,Jan Ole Gerster,Jan Ole Gerster (screenplay),Tom Schilling,0
A Cure for Wellness,R,0,A.O. SCOTT,Review: ‘A Cure for Wellness’ Is a Riot of Film References. With Eels.,This thriller from Gore Verbinski makes for a nice game of Name That Movie Influence as it treads the boundary between homage and outright plagiarism.,2017-02-16,2017-02-17,2017-11-02 4:18,NA,NA,NA,NA,NA,0
A Family Affair,NA,0,GLENN KENNY,"Review: ‘A Family Affair,’ or Airing Dirty Laundry","The Dutch documentarian Tom Fassaert pursues his own history, beginning with his 95-year-old grandmother in South Africa.",2016-09-15,2016-09-19,2017-11-02 4:18,NA,NA,NA,NA,NA,0
A Faster Horse,Not Rated,0,HELEN T. VERONGOS,Review: ‘A Faster Horse’ Tells the Ford Mustang’s Story,"This film celebrates the 50th anniversary of the car, from its mid-1960s beginnings to today.",2015-10-08,2015-10-08,2017-11-02 4:18,NA,Documentary,David Gelb,NA,NA,0
A Fragile Trust,NA,0,BEN KENIGSBERG,Exploring the Blot on a Newspaper’s Record,"Samantha Grant’s documentary, “A Fragile Trust,” comes a decade after the fraud scandal at The New York Times perpetrated by the reporter Jayson Blair.",2014-04-10,2014-03-07,2017-11-02 4:18,NA,Documentary,Samantha Grant,"Samantha Grant, Richard Levien",Jayson Blair,0
A German Life,NA,0,BEN KENIGSBERG,"Review: In ‘A German Life,’ Goebbels’s Secretary Explains Her Actions",Did Goebbels’s secretary do anything more than type? This documentary lets viewers judge.,2017-12-21,2017-12-22,2017-12-29 17:44,NA,NA,NA,NA,NA,0
A Good American,NA,0,BEN KENIGSBERG,"Review: In ‘A Good American,’ Examining Sept. 11 and Data Collection","Friedrich Moser’s documentary employs re-enactments, moving graphics and a Philip Glass-like score.",2017-02-02,2017-02-03,2017-11-02 4:18,NA,NA,NA,NA,NA,0
A Good Day to Die Hard,R,0,A. O. SCOTT,When Action Is the Family Business,"Bruce Willis takes his fifth turn playing John McClane, this time in Moscow, in the stunt-loaded film “A Good Day to Die Hard.”",2013-02-13,2013-02-14,2017-11-02 4:18,67344392,Action,John Moore,"Skip Woods, Roderick Thorp (certain original characters by)",Bruce Willis,0
A Gray State,NA,0,BEN KENIGSBERG,"Review: ‘A Gray State,’ Behind a Filmmaker’s Madness","Erik Nelson’s documentary centers on the aspiring filmmaker David Crowley, whose violent death became a cause for conspiracy theorists.",2017-11-02,2017-11-03,2017-11-10 17:44,NA,NA,NA,NA,NA,0
A Haunted House,R,0,NEIL GENZLINGER,A Horror Movie Parody,"Marlon Wayans stars in “A Haunted House,” a horror movie parody directed by Mike Tiddes.",2013-01-11,2013-01-11,2017-11-02 4:18,32536865,Comedy,Michael Tiddes,"Marlon Wayans, Rick Alvarez",Marlon Wayans,0
A Haunted House 2,R,0,ANDY WEBSTER,Moving In? Beware the Other Residents,"Marlon Wayans stars in “A Haunted House 2,” his second stop in this horror-spoof franchise.",2014-04-18,2014-04-18,2017-11-02 4:18,13710572,Comedy,Michael Tiddes,"Marlon Wayans, Rick Alvarez, Marlon Wayans (characters), Rick Alvarez (characters)",Marlon Wayans,0
A Horrible Way to Die,R,0,JEANNETTE CATSOULIS,The Serial-Killer Story Takes a New Twist,Adam Wingard’s “Horrible Way to Die” turns a typical idea into an unexpectedly novel thriller.,2011-08-18,2011-08-19,2017-11-02 4:18,NA,Drama,Adam Wingard,Simon Barrett,AJ Bowen,0
A LEGO Brickumentary,G,0,ANDY WEBSTER,"Review: In &#8216;A Lego Brickumentary,&#8217; Master Builders Working and Playing","A movie explores the uses, from artistic to therapeutic, of a ubiquitous toy.",2015-07-30,2015-07-31,2017-11-02 4:18,NA,Documentary,"Kief Davidson, Daniel Junge","Daniel Junge, Davis Coombe, Kief Davidson",Jason Bateman,0
A Life in Dirty Movies,NA,0,NICOLAS RAPOLD,A Sexploitation Filmmaker’s Work and Relationship,"&#8220;A Life in Dirty Movies&#8221; explores the work of Joe Sarno, known for his 1960s soft-core films, and his long relationship with his wife and collaborator, Peggy.",2014-09-18,2014-09-19,2017-11-02 4:18,NA,Documentary,Wiktor Ericsson,Wiktor Ericsson,Joseph W. Sarno,0
A Little Bit of Heaven,PG-13,0,MANOHLA DARGIS,Dancing on Her Own Grave With a Spring in Her Step,"A carefree advertising whiz won’t let cancer get in the way of romance, or her sense of humor, in “A Little Bit of Heaven.”",2012-05-03,2012-05-04,2017-11-02 4:18,453167,Comedy,Nicole Kassell,Gren Wells,Kate Hudson,0
A Little Help,R,0,JEANNETTE CATSOULIS,An Unsatisfying Life,“A Little Help” stars Jenna Fischer as a Long Island dental hygienist whose life is deteriorating around her.,2011-07-21,2011-07-22,2017-11-02 4:18,85789,Comedy,Michael J. Weithorn,Michael J. Weithorn,Jenna Fischer,0
A Love Affair of Sorts,NA,0,NEIL GENZLINGER,A Couple United in Self-Absorption,“A Love Affair of Sorts” is a critique of what we already know so well: we’re self-absorbed and shallow.,2011-06-23,2011-06-24,2017-11-02 4:18,NA,Drama,David Guy Levy,"Lili Bordán (story), David Guy Levy (story)",Lili Bordán,0
A Man Called Ove,PG-13,0,GLENN KENNY,"Review: In ‘A Man Called Ove,’ Don’t Let That Scowl Fool You","Adapted from a best-selling Swedish novel, this film stars Rolf Lassgard as a gruff, unemployed railroad worker who befriends immigrants who are his new neighbors.",2016-09-29,2016-09-30,2017-11-02 4:18,NA,NA,NA,NA,NA,0
A Marine Story,NA,0,STEPHEN HOLDEN,"A Stoic Marine Undone by Don’t Ask, Don’t Tell","Closeted, forced out of the service, and now facing identity issues at home.",2010-11-04,2010-11-05,2017-11-02 4:18,NA,Crime,Ned Farr,Ned Farr,Dreya Weber,0
A Million Ways to Die in the West,R,0,STEPHEN HOLDEN,A Frontier Farce From the Guy Behind &#8216;Family Guy&#8217; ,The one-man comedy juggernaut Seth MacFarlane directed himself in this western spoof.,2014-05-29,2014-05-30,2017-11-02 4:18,37331031,Action,Seth MacFarlane,"Seth MacFarlane, Alec Sulkin, Wellesley Wild",Seth MacFarlane,0
A Moment of Silence,NA,0,HELEN T. VERONGOS,Review: ‘A Moment of Silence’ Follows the Evo Morales Era in Bolivia,This documentary centers on the first Bolivian president to rise from the country’s indigenous majority.,2016-05-19,2016-05-20,2017-11-02 4:18,NA,NA,NA,NA,NA,0
A Monster Calls,PG-13,0,NEIL GENZLINGER,"Review: ‘A Monster Calls,’ Offering a Boy a Lifeline",Liam Neeson is the voice of a giant tree that helps a child with a vivid imagination through difficult times.,2016-12-22,2017-01-06,2017-11-02 4:18,NA,NA,NA,NA,NA,0
A Most Wanted Man,R,0,MANOHLA DARGIS,A Search and Destroy Thyself Mission,"In “A Most Wanted Man,” a grim German intelligence agent played by Philip Seymour Hoffman zeros in on a Chechen whom he believes he can link to terrorist cells.",2014-07-24,2014-08-01,2017-11-02 4:18,14037964,Crime,Anton Corbijn,"Andrew Bovell (screenplay), John le Carré (novel), Stephen Cornwell (additional writing)",Grigoriy Dobrygin,0
A Nightmare on Elm Street,R,0,A. O. SCOTT,"Freddy Krueger Is Back, With Sharp Claws and a Long Memory",This newly rebooted “Nightmare on Elm Street” tries to recapture some of the grisly wit of the original.,2010-04-29,2010-04-30,2017-11-02 4:18,NA,Horror,Wes Craven,Wes Craven,John Saxon,0
A Novel Romance,NA,0,NEIL GENZLINGER,An Aging Loser Gets the Girl(s),“A Novel Romance” centers on a middle-aged schlub and the attractive young women he inexplicably attracts.,2011-11-10,2011-11-11,2017-11-02 4:18,NA,Comedy,Mark Griffiths,"Beverly Nuako (story), Hanz Wasserburger (screenplay), Hanz Wasserburger (story)",Amy Acker,0
A Perfect Day,R,0,MANOHLA DARGIS,Review: ‘A Perfect Day’ About Aid Workers in the Balkans,Benicio Del Toro and Tim Robbins star in this Fernando León de Aranoa’s film set in the Balkan countryside in 1995.,2016-01-14,2016-01-15,2017-11-02 4:18,NA,Comedy,Fernando León de Aranoa,"Fernando León de Aranoa, Diego Farias (collaborating writer), Paula Farias (novel)",Benicio Del Toro,0
A Royal Night Out,PG-13,0,STEPHEN HOLDEN,Review: After the Terrors of the Blitz Comes ‘A Royal Night Out’,"In this fantasy directed by Julian Jarrold, two princesses escape, incognito, to commune with the joyful masses on the day Word War II ended in Europe.",2015-12-03,2015-12-04,2017-11-02 4:18,1626909,Comedy,Julian Jarrold,"Trevor De Silva, Kevin Hood",Sarah Gadon,0
A Single Man,R,0,MANOHLA DARGIS,A Love That Speaks Its Name: A College Professor’s Fateful Day,"Colin Firth wears the face of grief in Tom Ford’s directorial debut, “A Single Man.”",2009-12-10,2010-02-05,2017-11-02 4:18,9098668,Drama,Tom Ford,"Christopher Isherwood (novel), Tom Ford (written for the screen by), David Scearce (written for the screen by)",Colin Firth,1
A Space Program,NA,0,DANIEL M. GOLD,Review: ‘A Space Program’ Adds Whimsy to a Mission to Mars,Van Neistat’s film is the record of the artist Tom Sachs’s installation that amused audiences at the Park Avenue Armory in 2012.,2016-03-17,2015-03-18,2017-11-02 4:18,NA,Documentary,Van Neistat,"Hailey Gates, Van Neistat, Tom Sachs",Chris Beeston,0
