display_title,mpaa_rating,critics_pick,byline,headline,summary_short,publication_date,opening_date,date_updated,boxoffice,genre,director,writer,actor,awards
Truth,R,1,STEPHEN HOLDEN,Review: ‘Truth’ Treads a Perilous Political Tightrope,"“Truth,” starring Cate Blanchett and Robert Redford, looks back at a “60 Minutes II” report and its fallout.",2015-10-15,2015-10-30,2017-11-02 4:18,1580106,Biography,James Vanderbilt,"James Vanderbilt (screenplay), Mary Mapes (book)",Cate Blanchett,1 win & 6 nominations.
"Tuesday, After Christmas",Not Rated,1,A. O. SCOTT,"Case of Romanian Realism: Regular Guy, With Wife and Girlfriend","“Tuesday, After Christmas,” a Romanian film directed by Radu Muntean, tells the story of a married regular guy who is having an affair with his daughter’s dentist.",2011-05-24,2011-05-25,2017-11-02 4:18,13401,Drama,Radu Muntean,"Alexandru Baciu (screenplay), Radu Muntean (screenplay), Razvan Radulescu (screenplay)",Mimi Branescu,6 wins & 14 nominations.
Two in the Wave,,1,A. O. SCOTT,Two Daring Directors Who Changed Film History,"“Two in the Wave,” about the French New Wave filmmakers François Truffaut and Jean-Luc Godard, is interested in its subjects’ artistic personalities.",2010-05-18,2010-05-19,2017-11-02 4:18,27824,Documentary,Emmanuel Laurent,Antoine de Baecque,Isild Le Besco,N/A
Two Step,,1,STEPHEN HOLDEN,Review: &#8216;Two Step&#8217; Scuffles Around With Petty Criminals,"Alex R. Johnson&#8217;s feature-length debut is a nasty, well-acted little gem that goes deep inside its characters&#8217; psyches.",2015-07-30,2015-07-31,2017-11-02 4:18,NA,Crime,Alex R. Johnson,"Alex R. Johnson, Alex R. Johnson",Beth Broderick,1 win & 4 nominations.
UFO In Her Eyes,,1,STEPHEN HOLDEN,"Capitalism, Stranger Than a Space Alien","“UFO in Her Eyes,” a satire directed by Xiaolu Guo, is now showing at MoMA.",2012-06-12,2012-06-13,2017-11-02 4:18,NA,Comedy,Xiaolu Guo,"Xiaolu Guo (screenplay), Pamela Casey (screenplay), Xiaolu Guo (based on the novel by)",Ke Shi,N/A
Uncle Howard,,1,GLENN KENNY,Review: ‘Uncle Howard’ Looks Back at a Filmmaker’s Work Cut Short,"This documentary is a dual portrait of intertwined artists: Howard Brookner, who died of AIDS early in his career, and his nephew Aaron Brookner, now also a filmmaker.",2016-11-17,2016-11-18,2017-11-02 4:18,NA,Documentary,Aaron Brookner,Aaron Brookner (concept),Aaron Brookner,2 nominations.
Uncle John,,1,NEIL GENZLINGER,Review: ‘Uncle John’ Is Steeped in Secrets,The first feature from Steven Piet unfolds with murkiness and ambiguity.,2015-09-17,2015-09-18,2017-11-02 4:18,NA,Crime,Steven Piet,"Erik Crary, Steven Piet",John Ashton,6 wins & 4 nominations.
Under African Skies,,1,STEPHEN HOLDEN,"An Album About Healing, Made in a Wounded Land","In “Under African Skies,” the filmmaker Joe Berlinger recounts the controversy surrounding Paul Simon’s album “Graceland.”",2012-05-10,2012-05-25,2017-11-02 4:18,NA,Documentary,Joe Berlinger,N/A,Paul Simon,Won 1 Primetime Emmy. Another 11 wins & 4 nominations.
Unraveled,Not Rated,1,JEANNETTE CATSOULIS,The Good Life With Bad Choices,"The documentary “Unraveled” follows Marc Dreier, a lawyer convicted of defrauding investors through elaborate schemes, in the days before his sentencing.",2012-04-12,2012-04-13,2017-11-02 4:18,NA,Documentary,Marc H. Simon,N/A,Marc Dreier,1 win & 1 nomination.
Urban Hymn,,1,NEIL GENZLINGER,"Review: In ‘Urban Hymn,’ Hardened Youth and an Angelic Voice","A social worker tries to connect with a troubled 17-year-old through music, but the girl’s street-tough best friend stands in the way.",2017-05-10,2017-05-12,2017-11-02 4:18,NA,Crime,Michael Caton-Jones,Nick Moorcroft,Letitia Wright,3 wins & 1 nomination.
Vacation,R,1,NEIL GENZLINGER,"Review: In &#8216;Vacation,&#8217; Christina Applegate and Ed Helms Travel to Walley World","This comedy about a family&#8217;s theme park journey is a sequel to &#8220;National Lampoon&#8217;s Vacation,&#8221; the 1983 Chevy Chase film.",2015-07-28,2015-07-29,2017-11-02 4:18,40292843,Adventure,"John Francis Daley, Jonathan Goldstein","Jonathan Goldstein, John Francis Daley, John Hughes (characters)",Ed Helms,1 win & 3 nominations.
Vacation!,,1,JEANNETTE CATSOULIS,"Sun, Sand and Sexual Tension",Four college girlfriends hit a North Carolina beach in “Vacation!”,2011-05-12,2011-05-13,2017-11-02 4:18,NA,Comedy,Jeremiah S. Chechik,John Hughes,Chevy Chase,N/A
Valentino's Ghost,,1,ANDY WEBSTER,"Hollywood Does Arabia, From A to B",Michael Singh’s documentary “Valentino’s Ghost” looks at the intersection of Western politics in the Middle East and Hollywood’s depiction of Arabs.,2013-05-16,2013-05-17,2017-11-02 4:18,NA,Documentary,Michael Singh,Michael Singh,Ahmed Ahmed,N/A
Valley of Saints,,1,STEPHEN HOLDEN,"Seeking Solace Elsewhere, Before Encountering It at Home",&#8220;Valley of Saints&#8221; tells the story of two men whose plans are disrupted by a military curfew and whose friendship is threatened by a shared love interest.,2015-01-08,2015-01-09,2017-11-02 4:18,NA,Drama,Musa Syeed,Musa Syeed,Mohammed Afzal,7 wins & 4 nominations.
Veteran,,1,MIKE HALE,"Review: In ‘Veteran,’ an ’80s Cop Comedy Vibe From South Korea","The film follows an honest detective taking on the pampered, sociopathic heir to a family-owned business conglomerate.",2015-09-17,2015-09-18,2017-11-02 4:18,1048332,Action,Seung-wan Ryoo,"Seon-gyeong Gu (character created by: Veteran), Seung-wan Ryoo",Jung-min Hwang,16 wins & 43 nominations.
Viva,R,1,STEPHEN HOLDEN,"Review: In ‘Viva,’ a Star Is Waiting to Be Born","A macho father released from prison decides to move in with the son he abandoned, who is a sweet-natured gay hairdresser and an aspiring drag queen.",2016-04-28,2016-04-29,2017-11-02 4:18,NA,Drama,Paddy Breathnach,Mark O'Halloran,Jorge Perugorría,2 wins & 11 nominations.
Wagner's Dream,,1,STEPHEN HOLDEN,Production’s Wagnerian Difficulties,"“Wagner’s Dream,” directed by Susan Froemke, is a documentary that gives a behind-the-scenes look at the making of Robert Lepage’s staging of the four-part “Ring” cycle for the Metropolitan Opera.",2012-07-18,2012-07-19,2017-11-02 4:18,NA,Documentary,Susan Froemke,N/A,Carl Fillion,1 nomination.
Waiting for 'Superman',PG,1,STEPHEN HOLDEN,Students Caught in the School Squeeze,A powerful and alarming documentary about America’s failing public school system.,2010-09-23,2010-10-29,2017-11-02 4:18,6410257,Documentary,Davis Guggenheim,"Davis Guggenheim, Billy Kimball",Charles Adam,16 wins & 28 nominations.
War Dogs,R,1,NEIL GENZLINGER,"Review: ‘War Dogs,’ an Absurd (and True) Gunrunning Tale",Jonah Hill and Miles Teller play 20-something entrepreneurs who plunge into the weaponry business and end up in over their heads.,2016-08-18,2016-08-19,2017-11-02 4:18,43017433,Comedy,Todd Phillips,"Stephen Chin (screenplay), Todd Phillips (screenplay), Jason Smilovic (screenplay), Guy Lawson (Rolling Stone article ""Arms and the Dudes"")",Miles Teller,Nominated for 1 Golden Globe. Another 2 nominations.
War for the Planet of the Apes,PG-13,1,A.O. SCOTT,Review: New ‘Planet of the Apes’ Makes You Root Against Your Species,"With Andy Serkis reprising his role as Caesar, “War for the Planet of the Apes” is a humane western wrapped around a prison movie, as primates battle for primacy.",2017-07-12,2017-07-14,2017-11-02 4:18,146872826,Action,Matt Reeves,"Mark Bomback, Matt Reeves, Rick Jaffa (based on characters created by), Amanda Silver (based on characters created by)",Andy Serkis,Nominated for 1 Oscar. Another 22 wins & 46 nominations.
War Horse,PG-13,1,A. O. SCOTT,"Innocence Is Trampled, but a Bond Endures","“War Horse,” set in World War I and directed by Steven Spielberg, pays tribute to a tradition of honest, emotionally direct storytelling.",2011-12-22,2011-12-25,2017-11-02 4:18,79883359,Drama,Steven Spielberg,"Lee Hall (screenplay), Richard Curtis (screenplay), Michael Morpurgo (novel), Nick Stafford (stage play)",Jeremy Irvine,Nominated for 6 Oscars. Another 15 wins & 70 nominations.
Warrior,PG-13,1,A. O. SCOTT,"A Tale of Jacob, Esau and Muscles",Gavin O’Connor’s “Warrior” follows two estranged brothers who are separately preparing for a mixed martial arts tournament.,2011-09-08,2011-09-09,2017-11-02 4:18,13600000,Drama,Gavin O'Connor,"Gavin O'Connor (screenplay), Anthony Tambakis (screenplay), Cliff Dorfman (screenplay), Gavin O'Connor (story), Cliff Dorfman (story)",Joel Edgerton,Nominated for 1 Oscar. Another 6 wins & 20 nominations.
We Come as Friends,,1,BEN KENIGSBERG,Review: &#8216;We Come as Friends&#8217; Explores Potential Exploitation of South Sudan,Hubert Sauper&#8217;s documentary blends striking visuals with a pointed argument that outside investors seeking profits played a big role in the region&#8217;s independence movement.,2015-08-13,2015-08-14,2017-11-02 4:18,NA,Documentary,Hubert Sauper,Hubert Sauper (concept),N/A,4 wins & 4 nominations.
We Were Here,,1,STEPHEN HOLDEN,"In a City’s Plague Years, Caring for Their Own","“We Were Here” is an unblinking chronology of the AIDS epidemic, recounted by five people who lived through it and watched countless friends and lovers die.",2011-09-08,2011-09-01,2017-11-02 4:18,NA,Documentary,"David Weissman, Bill Weber(co-director)",N/A,Ed Wolf,4 wins & 6 nominations.
Welcome to Me,R,1,A. O. SCOTT,Review: Kristen Wiig as a Troubled Lottery Winner in ‘Welcome to Me’,Ms. Wiig&#8217;s character decides to spend a major financial windfall on buying her own talk show in this dark comedy directed by Shira Piven.,2015-04-30,2015-05-01,2017-11-02 4:18,NA,Comedy,Shira Piven,Eliot Laurence,Kristen Wiig,1 win & 2 nominations.
What Maisie Knew,R,1,A. O. SCOTT,"Adult Head Games, Focused on a Child","“What Maisie Knew,” an adaptation of the Henry James short novel, is about a young girl caught in a custody battle between her mother and father.",2013-05-02,2013-05-03,2017-11-02 4:18,1.00E+06,Drama,"Scott McGehee, David Siegel","Nancy Doyne (screenplay by), Carroll Cartwright (screenplay by), Henry James (based on the novel by)",Julianne Moore,3 wins & 8 nominations.
What We Do in the Shadows,R,1,JEANNETTE CATSOULIS,"Review: ‘What We Do in the Shadows,’ a Vampire Comedy","The film, directed by Jemaine Clement and Taika Waititi, is set in New Zealand and follows four ghouls who have problems adapting to the modern world.",2015-02-12,2015-02-13,2017-11-02 4:18,NA,Comedy,"Jemaine Clement, Taika Waititi","Jemaine Clement, Taika Waititi",Jemaine Clement,25 wins & 18 nominations.
When I Walk,,1,JEANNETTE CATSOULIS,Filmmaker Chronicles His Battle With Illness,The director Jason DaSilva records his daily battle with a degenerative disease in “When I Walk.”,2013-10-24,2013-10-25,2017-11-02 4:18,NA,Documentary,Jason DaSilva,"Alice Cook, Jason DaSilva",Alice Cook,5 wins & 3 nominations.
While We're Young,R,1,A. O. SCOTT,"Review: In ‘While We’re Young,’ a Coupling of Gen X and Y","In Noah Baumbach&#8217;s film, Ben Stiller and Naomi Watts play a couple in their 40s who become captivated by a younger pair who seem to freely embrace experience.",2015-03-26,2015-04-17,2017-11-02 4:18,7008208,Comedy,Noah Baumbach,"Noah Baumbach, Henrik Ibsen (epigraph from ""A Master Builder"" by), Wallace Shawn (epigraph from ""A Master Builder"" translated by)",Naomi Watts,1 win & 2 nominations.
White Girl,,1,STEPHEN HOLDEN,"Review: ‘White Girl,’ a Tale of Cocaine, Sex and Privilege",Elizabeth Wood’s film stars Morgan Saylor as a wild college ingenue who winds up struggling when her new drug-dealing boyfriend is arrested.,2016-09-01,2016-09-02,2017-11-02 4:18,198493,Crime,Elizabeth Wood,Elizabeth Wood,Morgan Saylor,1 win & 3 nominations.
Wild,R,1,A. O. SCOTT,"Walking With Solitude, and Her Baggage",&#8220;Wild&#8221; stars Reese Witherspoon as a woman who takes on an arduous solo trek along the Pacific Crest Trail.,2014-12-02,2014-12-19,2017-11-02 4:18,24673716,Adventure,Jean-Marc Vallée,"Nick Hornby (screenplay by), Cheryl Strayed (memoir ""Wild: From Lost to Found on the Pacific Crest Trail"")",Reese Witherspoon,Nominated for 2 Oscars. Another 11 wins & 65 nominations.
Wilde Salomé,R,1,GLENN KENNY,Review: Al Pacino’s Journey With Wilde’s ‘Salomé’,"A story of obsession plays out in “Wilde Salomé” and “Salomé,” as Mr. Pacino veers into Camp.",2018-03-29,2017-04-01,2018-04-06 16:44,NA,Documentary,Al Pacino,"Al Pacino, Oscar Wilde (play)",Al Pacino,1 win & 1 nomination.
Win Win,R,1,A. O. SCOTT,Riding the Wave of Life’s Indignities,"Paul Giamatti plays a struggling suburbanite facing the usual material and moral anxieties in “Win Win,” Tom McCarthy’s funny and warmhearted new film.",2011-03-17,2011-04-15,2017-11-02 4:18,10100000,Comedy,Tom McCarthy,"Tom McCarthy (screenplay), Tom McCarthy (story), Joe Tiboni (story)",Paul Giamatti,5 wins & 22 nominations.
Wind River,R,1,GLENN KENNY,Review: Murder Mystery on the Reservation in ‘Wind River’,A rookie investigator meets her match while investigating a murder on an Indian reservation.,2017-08-03,2017-08-04,2017-11-02 4:18,33782714,Crime,Taylor Sheridan,Taylor Sheridan,Kelsey Asbille,8 wins & 18 nominations.
Window Horses: The Poetic Persian Epiphany of Rosie Ming,,1,TEO BUGBEE,Review: ‘Window Horses’ Animates a Young Poet’s Self-Discovery,"Ann Marie Fleming’s film explores the passions of a sheltered poet who travels to Shiraz, Iran, for a poetry festival.",2017-11-09,2017-11-10,2017-11-17 17:44,NA,Animation,Ann Marie Fleming,Ann Marie Fleming (screenplay),Ellen Page,10 wins & 10 nominations.
Winnie the Pooh,G,1,A. O. SCOTT,Hundred Acre Gang Is Back in Town,This “Winnie the Pooh” has no bells and whistles: it is comfortable with itself and confident in its ability to amuse and beguile young viewers.,2011-07-14,2011-07-15,2017-11-02 4:18,26687172,Animation,"Stephen J. Anderson, Don Hall","Stephen J. Anderson (story by), Clio Chiang (story by), Don Dougherty (story by), Don Hall (story by), Kendelle Hoyer (story by), Brian Kesinger (story by), Nicole Mitchell (story by), Jeremy Spears (story by), A.A. Milne (based upon the works of), Ernest Shepard (based upon the works of)",John Cleese,2 wins & 25 nominations.
Winter's Bone,R,1,A. O. SCOTT,"Where Life Is Cold, and Kin Are Cruel","Debra Granik’s tender adaptation of a novel by Daniel Woodrell follows a young woman in the Missouri Ozarks, as she sets out to find her father.",2010-06-10,2010-07-16,2017-11-02 4:18,6200000,Drama,Debra Granik,"Debra Granik (screenplay), Anne Rosellini (screenplay), Daniel Woodrell (novel)",Jennifer Lawrence,Nominated for 4 Oscars. Another 63 wins & 120 nominations.
Wonder,PG,1,GLENN KENNY,"Review: In ‘Wonder,’ a Not-So-Ordinary Boy Makes His Way","Auggie, the little boy in this smart and warmhearted family film, is inspirational in his differences.",2017-11-16,2017-11-17,2017-12-16 17:44,132090170,Drama,Stephen Chbosky,"Stephen Chbosky (screenplay by), Steve Conrad (screenplay by), Jack Thorne (screenplay by), R.J. Palacio (based on the novel by)",Jacob Tremblay,Nominated for 1 Oscar. Another 2 wins & 21 nominations.
Wonder Woman,PG-13,1,A.O. SCOTT,Review: ‘Wonder Woman’ Is a Blockbuster That Lets Itself Have Fun,"The movie, directed by Patty Jenkins and starring Gal Gadot, shakes off branding imperatives with touches of screwball comedy and romantic adventure.",2017-05-31,2017-06-02,2017-11-02 4:18,412400625,Action,Patty Jenkins,"Allan Heinberg (screenplay by), Zack Snyder (story by), Allan Heinberg (story by), Jason Fuchs (story by), William Moulton Marston (Wonder Woman created by)",Gal Gadot,17 wins & 54 nominations.
Wonderstruck,PG,1,MANOHLA DARGIS,"Review: ‘Wonderstruck,’ Todd Haynes’s Imitations of Life",Mr. Haynes’s lovely adaptation of Brian Selznick’s book centers on a girl in the 1920s and a boy in the ’70s whose lives are mysteriously connected.,2017-10-19,2017-10-20,2017-11-19 17:44,976561,Drama,Todd Haynes,"Brian Selznick (screenplay by), Brian Selznick (based on the book by)",Millicent Simmonds,1 win & 27 nominations.
Wreck-It Ralph,,1,A. O. SCOTT,Bad-Guy Avatar Seeks Midlife Career Change,Video games and cartoons meet in the new Disney feature “Wreck-It Ralph.”,2012-11-01,2012-11-02,2017-11-02 4:18,189412677,Animation,Rich Moore,"Rich Moore (story by), Phil Johnston (story by), Jim Reardon (story by), Phil Johnston (screenplay by), Jennifer Lee (screenplay by), John C. Reilly (additional story material by), Sam Levine (additional story material by), Jared Stern (additional story material by)",John C. Reilly,Nominated for 1 Oscar. Another 33 wins & 41 nominations.
Xingu,,1,DANIEL M. GOLD,Preserving Culture in the Amazon,"“Xingu” tells how three brothers, hoping to protect indigenous people in the Amazon, helped create a sprawling national park in Brazil.",2014-03-13,2014-03-14,2017-11-02 4:18,NA,Action,Cao Hamburger,"Elena Soarez (screenplay), Cao Hamburger (screenplay), Anna Muylaert (screenplay), Cao Hamburger",João Miguel,4 wins & 22 nominations.
